ID,TARGET
1,1
10,0
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,0
108,0
109,1
11,0
110,0
111,1
112,0
113,0
114,1
115,1
116,0
117,1
118,0
119,0
12,0
120,0
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,1
129,0
13,1
130,1
131,0
132,0
133,1
134,1
135,1
136,1
137,0
138,0
139,1
14,1
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,0
148,0
149,0
15,0
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,1
159,0
16,0
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,1
17,0
170,0
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,0
179,1
18,0
180,1
181,0
182,1
183,1
184,0
185,1
186,1
187,0
188,0
189,0
19,0
190,0
191,1
192,0
193,0
194,1
195,1
196,1
197,0
198,0
199,1
2,1
20,1
200,0
201,0
202,0
203,1
204,1
205,1
206,0
207,1
208,0
209,1
21,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,0
22,1
220,0
221,0
222,0
223,0
224,1
225,1
226,1
227,1
228,0
229,0
23,1
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,1
24,1
240,0
241,1
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,1
25,1
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,0
258,0
259,1
26,1
260,0
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,0
269,0
27,1
270,0
271,1
272,0
273,1
274,0
275,1
276,1
277,1
278,0
279,0
28,1
280,1
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,0
29,1
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,0
3,0
30,1
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,0
31,1
310,0
311,1
312,0
313,0
314,1
315,0
316,1
317,1
318,1
319,1
32,0
320,1
321,0
322,0
323,0
324,1
325,1
326,0
327,0
328,1
329,1
33,1
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,0
338,1
339,0
34,0
340,1
341,1
342,0
343,0
344,1
345,0
346,0
347,1
348,0
349,1
35,0
350,0
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,0
359,0
36,1
360,1
361,1
362,1
363,1
364,1
365,0
366,0
367,0
368,1
369,0
37,0
370,1
371,0
372,1
373,1
374,1
375,0
376,0
377,1
378,0
379,1
38,1
380,1
381,0
382,0
383,1
384,1
385,1
386,1
387,0
388,0
389,0
39,1
390,0
391,0
392,1
393,1
394,0
395,1
396,1
397,1
398,1
399,1
4,1
40,0
400,0
41,1
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,0
5,0
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
6,1
60,1
61,0
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,1
7,0
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,0
78,0
79,0
8,0
80,1
81,0
82,1
83,0
84,0
85,1
86,1
87,0
88,0
89,0
9,0
90,0
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,1
