ID,News_title,News_headline,Category
1,"Do men enjoy sex more, or women? The Mahabharata answers","[Book Extract] From Anushasana Parva, translated by Arshia Sattar.",Arts
2,Why you should eat the Demonetisation laddoo,One laddoo equals to one lakh in your Jan Dhan account by next election.,humour
3,Is the world headed for a new Cold War?,The battle lines have become very clear with Russia and Iran supporting Bashar al-Assad and western powers and Israel opposing him.,politics
4,"Demonetisation is all about Modi, either you're with India or against it","How many times should this hypocritical drama be played out, before we bother to learn?",business
5,Why electoral bonds won't clean up political funding,Union finance minister Arun Jaitley needs to pay heed to the problems in-built in the new scheme to finance political parties.,politics
6,"Booze, beef and gambling in Goa: BJP's Hindutva is diluted",These double standards are not just shocking but highlight the unprincipled and localised politics of the saffron party.,politics
7,Beef politics is taking a bite out of Meghalaya BJP,Party leader in northeastern state quits over beef party to celebrate 3 years of Modi government.,politics
8,What Shivraj Singh Chouhan did when Modi was talking social distancing,The Madhya Pradesh chief minister has killed irony several times over by asking people to not be a Covidiot.,politics
9,No marks for Chennai’s Bala Vidya Mandir,"The school will sink into quicksand, unless it makes significant amends, and quickly.",politics
10,Refrain that India's armed forces can do no wrong is hurting us,"Pathankot, Uri, Nagrota and Baramullah attacks are examples.",politics
11,How the electoral agenda has been hijacked in the run up to 2019,The campaign is centered around Modi versus Rahul. The Opposition is being drawn into this helplessly. It is an unequal battle.,politics
12,Why the holy cow is dangerous for Mother India and the world,"Far more flatulent than other bovine species, Indian cows produce more methane, worsening global warming.",politics
13,Why we need to guard India against China's proxies,China's proxies are propagating the absurd proposition that a package deal on the border would include India remaining neutral on US-China issues.,politics
14,Delhi polls: It's advantage BJP,"With a fledgling AAP struggling to gain credibility and a completely demoralised Congress due to its leadership crisis at all levels, the writing on the wall is clear.",politics
15,Be ready for global T20 onslaught,Only time will tell whether it’s good or bad for cricket.,sports
16,ABVP leader on Kanhaiya’s visit to Hyderabad University,"Susheel Kumar says the organisation is blamed for everything that goes wrong, without any proof whatsoever.",politics
17,Will the Lingayat gamble work in Karnataka or start a Hindu vote war?,History has it that the BJP benefits every time the narrative shifts to religious undertones.,politics
18,Six reasons why you should buy the new iPhone 6S Plus,"Tough as nails, it's faster than the new MacBook Apple introduced earlier this year.",politics
19,Why we should be patient with GST,Moving forward there will be tweaking of both rates and items as the reform process matures.,business
20,3 reasons why you should stick to Jio even after March 31,"Despite all its flaws, it seems to be the best option.",tech
21,Why Nitish-Lalu-Manjhi bonding over iftar must be troubling for BJP,This is an attempt by the RJD chief to unite all anti-saffron parties on a common platform.,politics
22,"Surgical strikes by India are not new, but we must be on guard",Will things cool off from here?,politics
23,What India loses by pushing Nepal into crisis,New Delhi needs to see the benefit in a secure and stable neighbour and partner.,politics
24,Ram Jethmalani on why he lost respect for Modi,"Attacking the PM on the recent appointment of KV Chowdary as the CVC, the senior lawyer tweeted the letter in which he had advised him not to make any appointment for the top job.",politics
25,Politics behind Nitish Kumar's decision to support Ram Nath Kovind as BJP's President choice,What may have forced his hand was probably laid out before us in the last few months.,politics
26,Can Kejriwal become Punjab's first non-Sikh chief minister?,"If he does, the Delhi CM would have set another record in India's electoral politics.",politics
27,How Amit Shah got us to burst firecrackers in Pakistan,The BJP losing Bihar was a matter of great excitement on Twitter.,politics
28,"Voting with the Gandhis: Rahul, Priyanka, Sonia. Three different booths, three different pictures",The way the Gandhis voted mirrors the changing landscape of their own family.,politics
29,Why ending kerosene subsidy is in the hands of UP and Bihar governments,Most homes in these two states depend on kerosene lamps for lighting instead of electricity.,politics
